Incident_ID,Weapon_Type,Weapon_Caliber,Weapon_Details
20230518CACHW,Multiple Unknown,,
20230518WAGAS,Handgun,,
20230517DCTHW,Handgun,,
20230516NJSCP,Handgun,,
20230516OHEAC,Handgun,,
20230516MNDAM,Multiple Handguns,,
20230515ININI,Multiple Handguns,,"Glock 27, 5.7Ã—28 mm"
20230515ORCRP,Other,,Replica glock handgun
20230515CAPIP,Multiple Rifles,,48 guns seized
20230512OHEDD,Handgun,,
20230512OHEDD,Handgun,,
20230512DCKEW,Handgun,,
20230512TNLEL,Handgun,,
20230511MDNOF,Rifle,,
20230511ILNER,Handgun,,
20230510NYPSQ,Handgun,,
20230509CACAO,Handgun,,
20230508SCSUS,Handgun,,
20230508PAEWP,Handgun,,
20230508NVVOL,,,
20230506SCCOL,Handgun,,
20230505INLIE,Handgun,,
20230503NCJOE,Handgun,,
20230502AZRAM,Handgun,,
20230501MDPRS,Handgun,,
20230501MIINF,Handgun,,
20230430KYPAP,Multiple Handguns,,
20230430CAKNP,Handgun,,
20230428TNWEK,Handgun,,
20230427GACHK,,,
20230427VAGER,Handgun,,
20230426MNLIH,Other,Pellet,
20230426CTJON,Handgun,,
20230425NVCOH,Rifle,,
20230425CAKIL,,,
20230423VAJOD,Handgun,,
20230420ARLIL,Handgun,,
20230419FLFOA,Handgun,,
20230418TXRIH,Handgun,,
20230417LASON,,,
20230414AZDEP,,,
20230414WIWAW,Rifle,,AR-15 with extended magazine
20230414PAWOP,,,
20230413ILCHC,Handgun,,
20230412TXLOH,Handgun,,
20230412CACES,Handgun,,
20230407WACHS,Handgun,,
20230406NCSOW,Handgun,,
20230405WANAS,Handgun,,
20230405OHROC,Handgun,,
20230405SCHOG,,,
20230404TXCHH,Handgun,,"3D printed, ghost gun"
20230404OHWOC,,,
20230403PAFAP,Handgun,,
20230331MSGNJ,,,
20230331CAWOC,,,
20230331DCCAD,Handgun,,
20230331CAJAR,,,
20230330NCFOW,Handgun,,Ghost gun
20230329MDBRO,Handgun,,
20230329GANED,Handgun,,
20230331NCLIR,,,
20230327TNCON,Handgun,,Handgun
20230327TNCON,Rifle,,AR-15 style
20230327TNCON,Handgun,,Submachine pistol
20230324INNOM,Handgun,,
20230323TNHAM,Handgun,,
20230322ALANA,Handgun,,
20230324NJTHM,Handgun,,
20230322PAHAP,Handgun,,
20230322COEAD,Handgun,,
20230321TXTHD,Handgun,,
20230320TXLAA,Shotgun,,
20230319ORFOS,Rifle,,
20230316NCLOD,Handgun,,Extended magazine
20230316DCCOW,Handgun,,
20230316NYPSB,Handgun,,
20230315COINB,Handgun,,
20230315CALIG,Handgun,,
20230315MICEW,,,
20231107CABUB,Other,Pellet,Gel pellet
20230313NYPSN,Handgun,,
20230314NYHAN,Handgun,,
20230314NYMAM,Handgun,,
20230309WIBAM,Handgun,,
20230309OHMAM,Handgun,,
20230308WVHIH,,,
20230308PAHEP,Handgun,,
20230307INTHI,Handgun,,
20230306NYPAN,Handgun,,
20230306TXPAA,,,
20230306MDLEB,Handgun,,
20230306MISTR,Handgun,,
20230306MDPAB,Handgun,,
20230303MTGAL,Other,BB,
20230301ILMAM,Other,Pellet,
20230301GASAS,Handgun,,
20230301ILSAC,Handgun,,
20230301CONOP,,,
20230227CAGAC,,,
20230223OHWOC,Handgun,,
20230222COESE,,Service Weapon,
20230221LARUR,,,
20230217NCERE,Handgun,,
20230217ILCAC,,,
20230216TXGAG,Handgun,,
20230215TXDAH,Handgun,,
20230215OHCOC,Handgun,,
20230215MDWAB,,,
20230213COEMD,Handgun,,
20230214GAMID,Handgun,,
20230214PAWEP,Handgun,,
20230213NYPSS,,,
20230213COEAD,,,
20230213TXDAD,,,
20230210CAHEF,Other,Airsoft,
20230208NYWIB,Handgun,,
20230206ARKIF,Handgun,,
20230206DEAPM,Handgun,,
20230206FLMIM,Handgun,,
20230202UTPAS,Handgun,,
20230202OHRIP,Handgun,,
20230131ILZIZ,Handgun,,Full automatic
20230131OKGEG,Rifle,,
20230130ALHOM,,,
20230130DCCOW,Handgun,,
20230130AZGIY,Handgun,,
20230128MOGLS,Handgun,,
20230127NJHOW,Other,,Flare gun
20230126UTTAT,Handgun,,
20230125OHTOT,,,
20230124MOTHK,,,
20230123TXABA,Other,BB,
20230123IASTD,Handgun,9mm,
20230122WAMOT,,,
20230121FLGLB,Handgun,,
20230120MNWAS,Handgun,,
20230119NYEAB,Handgun,,
20230118NYCAQ,Handgun,,
20230118OKDED,Handgun,,
20230117FLMAB,Other,BB,"Two BB rifles, one BB pistol"
20230111VTSPV,Other,Pellet,
20230111VALAP,,,
20230110UTWES,Other,Pellet,
20230110KYSAS,Handgun,,
20230110DEWIN,Handgun,,Glock
20230110OHJOC,,,
20230110LABON,,,
20230109VAPRW,Other,Pellet,
20230107ORFRP,Handgun,,
20230106MDBEB,Handgun,,
20230106MIOAD,Handgun,,
20230106FLWEA,Handgun,,
20230106VARIN,Handgun,9mm,
20230105OHBEC,Handgun,,
20230105NYFRR,Handgun,,
20230104MITRD,Rifle,,
20221221CTNEN,,,
20221221CAWOW,Handgun,,
20221216ILBEC,Handgun,,
20221214OHLIC,Handgun,,
20221212ORGRP,Handgun,,
20221210TNBRC,,,
20221209PAMEP,,,
20221208NCFUG,Handgun,,
20221208NCFUG,Handgun,,
20221208MDSUD,Handgun,,
20221206ALLEM,,,
20221206MOCOS,Handgun,,
20221206INSUW,,,
20221206ILMIC,Handgun,,
20221206MDHAH,Other,BB,
20221205TNFRM,Handgun,,
20221203WISOM,Handgun,,
20221202DEDEW,,,
20221121MIHED,Multiple Handguns,,
20221122MISTS,Rifle,,
20221118NYROS,,,
20221118DCJAW,Handgun,,
20221117CAEAL,Handgun,,
20221117INSOC,Handgun,Service Weapon,
20221116ORMCM,,,
20221116NCLUL,Handgun,,
20221115TNMAN,Handgun,,
20221115LABAB,Multiple Handguns,,
20221112FLJOO,Handgun,,
20221111MSRAR,Handgun,,
20221109KYCAC,Handgun,9mm,
20221106VAHUH,Handgun,,
20221105TXDAF,Handgun,Service Weapon,Live round during training
20221104KYVAL,Handgun,,
20221103GASHS,,,
20221102DCMCW,Handgun,,
20221029TXAVA,Handgun,,
20221029COCRH,Handgun,,
20221028TXROR,Handgun,,
20221028NCWAT,Handgun,,
20221028ARROR,Other,Pellet,Pellet or BB gun
20221026TXUTU,Handgun,,
20221026ILMIW,Handgun,,
20221025PAPAP,Handgun,,
20221025NYTOS,Handgun,,
20221024MOCES,Rifle,.223 caliber,"AR-style rifle, 600 rounds of ammo"
20221022OHDUC,,,
20221022ILCHC,,,
20221021OHSHS,Handgun,Service Weapon,
20221021CAGRS,Handgun,,
20221020COCAD,Other,BB,
20221020PAPAP,Handgun,,
20221019TNROR,,,
20221018NVSUL,,,
20221018ORJEP,,,
20221017CAWIS,Other,Pellet,Paintball gun
20221017FLORT,Handgun,,
20221016VAFAR,,,
20221014LAJHA,Handgun,,
20220908LAJHA,Handgun,,
20221014NCJAG,Rifle,,AR-15
20221014NCJAG,Handgun,,
20221014VAWER,Handgun,,
20221014LABOB,Handgun,,
20221014TNRIM,Handgun,,
20221013NYSCB,Multiple Handguns,,
20221013TXJOD,Handgun,,
20221012NCCAC,Handgun,,
20221011ORREP,Handgun,,
20221011KSSAS,Handgun,,
20221010WIJAM,Handgun,,
20221009MAWAA,Handgun,,
20221008MOJCK,Handgun,,
20221007MIBAB,Handgun,,
20221007NCJHG,Handgun,,
20221007AZCAP,Handgun,,
20221007OHWHT,Handgun,,
20221006OHMAC,Handgun,,
20221004MAJB,Handgun,,
20221004NCPIS,,,
20221003MIOXO,Handgun,,
20221001CACOO,Handgun,,
20220930OKMCT,Handgun,,
20220930NYNEN,Handgun,,
20220928LASEB,Handgun,,
20220928CARUO,Handgun,,
20220927PAROP,Multiple Unknown,,
20220927TXHGD,,,
20220926GAVAV,Handgun,,
20220923CANOC,Handgun,,
20220923WIROM,Handgun,,
20220923PAWEP,Handgun,,
20220923DEAPM,Handgun,,
20220923MNRIM,Handgun,,
20220922AZMOP,Handgun,,
20220921INJAS,Handgun,,Serial number removed
20220920NYINB,Handgun,,
20220919FLTRS,Handgun,Service Weapon,
20220919LALAN,,,
20220917GAJOA,Handgun,,
20220916GALAA,Multiple Handguns,,
20220916NYPSN,Other,Pellet,
20220914PACON,Other,BB,
20220913UTBOB,Handgun,,
20220913MIJAJ,,,
20220913MDOXO,,,
20220913CAVAV,Handgun,,
20220909WIWIR,Handgun,,
20220909WIMIM,,,
20220907OHBEB,,,
20220907MDCAB,Handgun,,
20220907WIBAM,Handgun,,Fully auto
20220907WIBAM,Rifle,,Fully auto
20220906IANOS,Other,Pellet,
20220904FLBOL,Handgun,,
20220902INJEL,Handgun,,
20220902MDMEB,Handgun,,
20220831DCIDW,Handgun,,
20220831NMDEA,Handgun,,
20220831PAFRP,Handgun,,
20220831PAFRP,Rifle,,Semi auto rifle
20220829CAMAO,Handgun,,
20220827MONOS,Handgun,,
20220826OHGAC,Handgun,,
20220823OHINC,Other,BB,
20220823OHART,Handgun,,
20220819LAAKN,Handgun,,
20220819OHGRG,Handgun,10mm,Glock modified for full auto
20220819TNWEC,,,
20220818FLLER,Handgun,,
20220816TXPOB,Handgun,,
20220815CALIS,Handgun,,
20220813ARMAL,,,
20220812MISUG,Handgun,9mm,
20220812CASIV,Handgun,,
20220811GAUCB,,,
20220810GAMCA,Multiple Handguns,,
20220809PACHP,Handgun,,
20220805MATHL,Handgun,,
20220805GAJOJ,Handgun,,
20220803PALEP,Handgun,,
20220731CAOAO,Handgun,,
20220730NYRHH,,,
20220729INCOS,Handgun,,
20220728KSMOG,Handgun,,
20220726PALAL,,,
20220726TXCOC,Handgun,,
20220725NYBRB,Handgun,,
20220720CAJOV,Handgun,,
20220716NYCLS,Handgun,,
20220716GAAPF,Handgun,,
20220629CABUA,,,
20220620ILGRC,,,
20220613WAMAE,Handgun,,
20220610ALBYB,Handgun,,
20220609ALWAG,Handgun,Service Weapon,
20220608ARLIL,,,
20220607MIPED,Handgun,,
20220605INWEG,Handgun,,
20220601CAULL,Handgun,,
20220531LAMON,Handgun,,
20220530CAHEL,Handgun,,
20220529ILDAC,Rifle,,
20220529ILDAC,Handgun,,
20220526TXDUA,Handgun,,
20220526SCMEG,,,
20220525ILSTC,,,
20220524WIRIM,Handgun,,
20220524TXROU,Multiple Rifles,,
20220524DCPOW,Handgun,,
20220523PASIP,Handgun,,
20220520VAPOD,Handgun,,
20220520TNEAC,,,
20220520OHCAC,Other,airsoft,
20220520ILSOP,Handgun,,
20220520ALMAT,,,
20220519VAGER,,,
20220519MIEAK,,,
20220519LAHAH,Handgun,,
20220518TNRIM,Handgun,,
20220518FLPAP,Handgun,,
20220517ILWAC,Handgun,,
20220517CASAS,,,
20220516TXMEM,Handgun,,
20220515NHBEB,Other,airsoft,
20220515ILMEP,Handgun,9mm,
20220513GASOM,,,
20220513FLALW,Handgun,Service Weapon,
20220512TXHEH,,,
20220512ARHOH,Handgun,,
20220511FLJAJ,,,
20220509NYEDS,Handgun,,
20220509GARIS,Handgun,,
20220505OHLOL,Handgun,,
20220505ALDOD,Other,BB,
20220503CAARS,,,
20220501VALOM,Handgun,,
20220501OHHAC,Handgun,,
20220430PAMCJ,Handgun,,
20220427TXMOS,Handgun,Service Weapon,
20220427INCOS,Other,BB,
20220426MIASI,Handgun,,
20220426GASOM,Handgun,,
20220426GASOM,Other,Pellet,
20220425WIWIM,Multiple Handguns,,
20220424MOHAF,Handgun,,
20220422ORHOS,Handgun,,
20220422DCEDW,Multiple Rifles,,Fully automatic AR-15 style rifles
20220422DCEDW,Multiple Handguns,,
20220422CAMOR,Rifle,,
20220421NDMOM,Handgun,Service Weapon,
20220416IAMED,Handgun,,
20220415VAGAW,Handgun,,
20220414MSNEP,Other,Pellet,2 high-powered Gamo pellet rifles and 1 CO2 BB gun
20220413MISHS,Other,BB,
20220411ARPIP,Handgun,,
20220410MALYL,Handgun,,
20220406WVRIR,Handgun,.22 caliber,
20220406WASTM,Other,Pellet,
20220406ORROP,Handgun,,
20220405PAERE,Handgun,9mm,
20220403INBLB,Multiple Handguns,,
20220331PAACP,Handgun,,
20220330GABOA,Handgun,,
20220330AZKIK,Handgun,,
20220329VALUR,Handgun,,
20220329NVWEL,Handgun,Service Weapon,
20220328TXNOF,Handgun,,
20220328NCOAC,Handgun,,
20220325UTHIS,Handgun,,
20220325UTHIS,Other,Pellet,Gel pellet gun
20220325TXROR,Other,Pellet,Multiple gel pellet guns
20220325TNBRM,Handgun,,
20220324VARIW,Multiple Rifles,,Rifle and shotgun
20220322VAJAR,Handgun,,
20220322TXWOD,Handgun,,
20220322FLNEN,Other,Pellet,Gel pellet gun
20220321MSLEP,,,
20220321MIMAK,Handgun,9mm,
20220321AZDES,Handgun,,
20220319ALCEL,Handgun,,
20220318RICEP,Other,Pellet,Gel pellet gun
20220318ILBAB,Other,Pellet,Gel pellet gun
20220317AKREW,Handgun,,
20220316CALOR,Handgun,,
20220315WAEIY,Multiple Handguns,,
20220315MDPAB,Handgun,,
20220315MATEB,Multiple Handguns,,9mm glock handgun and .22 handgun with laser sight
20220315GAFOF,Handgun,,
20220314CAKRP,Handgun,,
20220313PANEP,,,
20220313PANEP,,,
20220311WIJER,Handgun,,
20220311OHMAM,,,
20220311OHFAP,Handgun,,
20220311CADER,Handgun,,
20220310TNHAM,Handgun,,
20220310MDCOL,Handgun,,
20220310COROH,Other,,Water pellet gun
20220309TXNOH,Handgun,,
20220309NMESE,Other,,Paintball gun
20220309FLNOM,Handgun,,Glock with extended magazine
20220309FLNOM,Rifle,,Springfield AR style rifle with fully automatic firing
20220307IAEAD,Multiple Handguns,,6 handguns recovered from suspects
20220304KSOLO,Handgun,,
20220303MIJWL,Handgun,,
20220228NYBOB,Handgun,,
20220227DCDUW,Handgun,,
20220225NMWEA,Handgun,,"Replica glock ""ghost gun"" purchased online"
20220225ALSOH,Handgun,,
20220223VAWOW,Handgun,,
20220222TXALH,Handgun,,
20220222COLIP,Handgun,Service Weapon,
20220221MDJOH,Handgun,,
20220220OKWIW,Handgun,,
20220220MSMCM,,,
20220219VACAC,,,
20220218MATET,Other,Pellet,Gel pellet
20220217WAMCG,Handgun,,
20220214FLLAL,Handgun,,
20220211DCEAW,Handgun,,
20220209NYMCB,Handgun,,
20220209MNMIM,,,
20220208NYMOM,Handgun,,
20220208MDCAC,Handgun,,
20220204GASOD,Handgun,,
20220204ALWEB,Handgun,,
20220203NCSPS,,,
20220202KYLOR,,,
20220201WIRUM,Handgun,,
20220201WIRUM,Handgun,,
20220201MNSOR,,,
20220201ILALC,Handgun,,
20220129WIBEB,Handgun,,
20220128LACAM,Handgun,,
20220127TXMOH,Handgun,,
20220126PABAP,Handgun,,
20220124NVSUL,,,
20220124IDDAD,Rifle,,AR-15
20220121MDMAR,Handgun,9mm,Ghost gun purchased online and assembled by shooter and friend
20220121GAMCA,,,
20220119VAMAP,Handgun,,
20220119VAMAP,Handgun,,
20220119FLSES,Handgun,9mm,
20220119DCANW,Handgun,,
20220117TXPYH,Multiple Handguns,,
20220114MDGAG,Rifle,AR-15,AR-style ghost gun
20220111NMVAA,,,
20220106CAFLS,Handgun,,
20220104ILAUR,Multiple Handguns,,
20220103WACHP,Handgun,.38 caliber,
20220103OHCOC,,,
20211229NCCAS,Handgun,,
20211217TXWOD,Other,,Realistic BB rifle
20211216SCEAC,Handgun,,
20211216NYPSB,Handgun,,
20211214WISOM,Handgun,,
20211214VAMEN,Handgun,,
20211213NCWEC,Handgun,,
20211213FLEAO,Handgun,,
20211212NYSCR,Handgun,,
20211211GAJOG,Handgun,,
20211211FLEDL,Handgun,,
20211210OHCAC,Handgun,,
20211210NCJEC,,,
20211209NYGRN,Handgun,,
20211208MOEWK,Handgun,,
20211208KYSTL,,,
20211207ILHAC,Handgun,,Extended magazine
20211206NYSUS,Handgun,,
20211206CAWIW,Multiple Rifles,,High power rifle
20211203ARBLB,Handgun,,
20211202WAGAS,Handgun,,
20211201TXSAP,Handgun,,
20211130TNHUH,Handgun,,
20211130MIOXO,Handgun,9mm,"Sig Sauer, 3X15 magazines"
20211130CALOL,Other,BB,
20211129ILWER,Handgun,,
20211129AZCHP,Handgun,,
20211126CAWES,Handgun,,
20211125SCCEP,,,
20211124ILTHH,,,
20211123OHCLC,Handgun,,
20211119MDGIB,,,
20211119COHIA,Multiple Handguns,,
20211116NYPSB,Handgun,,
20211116FLJAJ,,,
20211115NYPOP,Handgun,.38 caliber,
Christoper Chaney,Handgun,,
20211110NYITI,,,
20211109NMMEL,Handgun,,
20211108NYTHB,Handgun,,
20211106FLOVO,Handgun,,
20211102NMHIH,Other,BB,C02 BB rifle
20211030PASTM,Handgun,,
20211027SCCAS,Handgun,,
20211026MSCAN,Shotgun,,
20211026ILWIC,Handgun,,
20211022PAPHP,Handgun,,
20211021NYPSB,Handgun,,
20211021GABES,,,
20211018PALIP,Handgun,,
20211017ARROR,Rifle,.223 caliber,6.5 Grendel rifle
20211015CAKEF,Handgun,9mm,
20211015ALWIM,Handgun,,
20211014MEREP,,,
20211013PACHD,Other,Pellet,
20211013ILMCC,,,
20211012OKUNT,Other,Pellet,"Full automatic plastic gel gun, similar to airsoft pellets"
20211012MIELK,Handgun,,
20211012ILWEC,Handgun,.45 caliber,
20211012ARLIL,,,
20211011ORROP,Handgun,,
20211008OKCOC,,,
20211007TXEAW,Rifle,.22 caliber,
20211007PAANP,,,
20211007NCEAD,Handgun,,
20211007DCWAW,Handgun,9mm,Ghost gun
20211006TXTIA,Handgun,,
20211005NDHEH,Handgun,,
20211005NCGAC,Handgun,,
20211004PASCP,Handgun,,
20211004PASCP,Rifle,AR-15,
20211004OHWOT,Handgun,,
20211004ILLAC,Handgun,,
20211001TXYEH,Rifle,,
20211001NJCHC,Handgun,,
20211001NCSEF,Handgun,,
20211001NCNOD,Handgun,,
20211001INBEI,Handgun,,
20210930TNCUM,Handgun,,
20210930MSNEN,Handgun,,
20210929OHSHS,Handgun,,
20210928MESOS,Handgun,,
20210927ILCAC,Other,BB,
20210924VAESE,Handgun,,
20210924TNSTS,Handgun,,
20210924TNSTS,Rifle,,
20210924MDWIB,Handgun,,
20210924ALFAF,,,
20210923IDRIR,Handgun,,
20210922NYSOB,Handgun,,
20210922CTLIN,,,
20210921PAVAP,Handgun,,
20210921OHMIM,Other,BB,
20210921KSEAW,Handgun,,
20210921GAFRA,Handgun,,
20210921FLLAL,Other,BB,
20210920VAHEN,Handgun,,
20210920OHEAC,Multiple Handguns,,
20210920OHEAC,Handgun,,
20210918COWIC,Handgun,,
20210917VAHEH,Handgun,,
20210917TNAUK,Handgun,,
20210917PAWEP,Handgun,,
20210917NCPAW,Handgun,,
20210917GASWS,Handgun,,
20210916WIORM,Handgun,,
20210916UTPRP,Other,airsoft,
20210915VASPS,Other,,Stungun
20210915KYMAL,Handgun,,
20210915ILCEC,Handgun,,
20210914TNLAL,Handgun,,
20210914MOMCH,Multiple Handguns,,
20210913SCEDC,Handgun,,
20210910CONOA,Handgun,,
20210910CASTP,Other,BB,
20210909NCSHE,,,
20210909MITRF,Handgun,,
20210909ILCHC,Handgun,,
20210908MNPRB,Multiple Handguns,,
20210908ILCEC,Handgun,,
20210907TNLAL,Handgun,,
20210907PAHAH,Handgun,,
20210907MAOMG,Other,BB,
20210903NVDEL,Handgun,,
20210903NCJUC,Handgun,,
20210903CAMTH,Handgun,,
20210903CABUB,Handgun,,
20210902NMALA,Multiple Handguns,,
20210902INWEG,Handgun,,
20210902GAWOS,Handgun,,
20210902CASAL,Handgun,,
20210902CASAL,Handgun,,
20210902CASAL,Handgun,,
20210902CASAL,Handgun,,
20210902ARLIL,Handgun,,
20210901NCMTW,Handgun,,
20210901ILFRC,Handgun,,
20210830NJWEN,Handgun,,
20210830NCNEW,Handgun,,
20210830MDNEO,Handgun,,
20210830FLOKW,Other,Pellet,
20210828CASAS,Handgun,,
20210827VAFRW,Handgun,,
20210827KYAPO,Handgun,,
20210827INHAH,Handgun,,
20210826WAAKS,Multiple Handguns,,
20210826OHNOT,Handgun,,
20210826NYHAH,Handgun,,
20210822ILWER,Handgun,,
20210820NEMIO,,,
20210820CACEF,Handgun,,
20210818SCORO,Handgun,,
20210818SCORO,Handgun,,
20210815VAROD,Handgun,,
20210814SCDAH,Other,BB,
20210814ILMAC,,,
20210813NMWAA,Handgun,,
20210813GACAS,Handgun,,
20210812GALIL,Handgun,Service Weapon,
20210812CANOS,Handgun,,
20210811COMAC,,,
20210811CAOAO,Handgun,,
20210810OHEAC,Handgun,,
20210807ORGIP,,,
20210806LASTH,Handgun,,
20210805GACHD,,,
20210727WATYS,Handgun,,
20210721ILTHC,,,
20210719TXCAC,Other,BB,Hydroball gun painted black to look realistic
20210718ARFOL,Handgun,,
20210709KSCAW,Handgun,,
20210708ILBEC,Handgun,,
20210704NYDRR,,,
20210628CASLF,,,
20210624ILABR,,,
20210620CAGRM,Handgun,Service Weapon,
20210614TXEAF,Handgun,,
20210614NCROR,Multiple Handguns,,
20210614NCRJW,Handgun,,
20210614NCRJW,Rifle,.223 caliber,AR-15 style rifle
20210613PAWIP,Handgun,,
20210613PAPAC,,,
20210612MOMCF,Handgun,,
20210610CTHOW,Multiple Handguns,.40 caliber,Glock 23 with illegal high capacity magazine
20210609VAWIR,Handgun,,
20210609TXNOH,Handgun,,
20210608PAMUS,Handgun,,
20210608KSHAK,,,
20210607TXEAF,Handgun,,
20210606VADRA,Multiple Handguns,,
20210601ILLIC,Handgun,,
20210525NJPAP,Rifle,,"High-powered rifle with pistol grip, scope, extended magazine, and other modifications."
20210517TXBRE,Other,BB,
20210517TNAUM,Handgun,,
20210517MDLOC,Multiple Handguns,,"One handgun was ""ghost gun"""
20210514CASAS,Handgun,,
20210511NYPSB,Handgun,,
20210511CAVEL,Other,Pellet,
20210506SCFOC,Rifle,,Military rifle taken from Army Fort
20210506IDRIR,Handgun,,
20210505SCWAW,Handgun,,
20210505MICRC,Handgun,,
20210502ILCHC,Multiple Handguns,,
20210501MNBES,Multiple Handguns,,
20210430INMAI,Handgun,,
20210429NYURB,Multiple Handguns,,
20210429CAVIV,Handgun,,
20210427TNLAM,Handgun,,
20210427DESMS,Handgun,,
20210426MNPLP,Handgun,,
20210420TXHAH,Handgun,,
20210418OHWED,Handgun,,
20210413TNMAC,Handgun,,
20210412TNAUK,,,
20210412CASAS,Rifle,,
20210412CASAS,Handgun,,
20210411INBIH,Handgun,9mm,
20210407ILPEP,Handgun,,Not loaded
20210406ILBAC,Other,BB,Assault rifle replica
20210401OKCLC,Other,BB,
20210401ALSES,Handgun,,
20210327MAPEC,,,
20210326MOCAS,Handgun,,
20210324ORFOS,Handgun,,
20210319WVSPM,Other,BB,
20210318KYGRL,Handgun,,
20210315INMEM,Multiple Handguns,,
20210313TXLEA,Handgun,,
20210311OHCIC,,,
20210309TNSAK,Handgun,,
20210309OHBIC,,,
20210308SCEDC,Handgun,,
20210301ARWAP,Handgun,.38 caliber,
20210226LAGEN,Handgun,,
20210224WAGAY,Handgun,,
20210222CAHOV,,,
20210219ILLIR,,,
20210217TNKNK,,,
20210216NCTHS,Other,Pellet,
20210214MNROM,,,
20210210TXFOF,,,
20210210NJSCP,,,
20210210LASTS,,,
20210208MISCG,,,
20210205MDBEM,,,
20210201MIMUD,Handgun,,
20210127MSHAH,Handgun,,
